cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,desikan_killiany,harvard_oxford
    1,    0,  -40,   57,37.7426,446383,11.95% no_label,25.55% Unknown; 14.05% Right-Cerebral-White-Matter; 13.93% Left-Cerebral-White-Matter,5.41% Right_Frontal_Pole
    2,   15,  -55,  -24,    7, 1240,45.81% Cerebelum_6_R; 32.42% Cerebelum_4_5_R; 19.84% no_label,74.44% Right-Cerebellum-Cortex; 25.56% Right-Cerebellum-White-Matter,99.92% no_label
    3,  -15,  -55,  -24,    7, 1240,41.77% Cerebelum_6_L; 34.35% Cerebelum_4_5_L; 23.55% no_label,70.56% Left-Cerebellum-Cortex; 29.44% Left-Cerebellum-White-Matter,99.84% no_label
    4,  -35,  -27,   -5,10.7345,  708,86.72% Hippocampus_L; 13.28% no_label,50.14% Left-Hippocampus; 26.41% Left-Cerebral-White-Matter; 13.84% Left-choroid-plexus; 9.18% Left-VentralDC,89.12% Left_Hippocampus
    5,   35,  -27,   -5,11.0196,  612,93.14% Hippocampus_R; 6.86% no_label,66.99% Right-Hippocampus; 16.18% Right-Cerebral-White-Matter; 6.86% Right-choroid-plexus; 5.56% Right-VentralDC,95.92% Right_Hippocampus
    6,  -10,  -14,   -5,24.0076,  526,97.34% no_label,81.94% Left-VentralDC; 16.92% Left-Thalamus-Proper,52.66% Left_Thalamus; 46.20% no_label
    7,   10,  -15,   -5,23.7255,  510,97.25% no_label,78.24% Right-VentralDC; 20.20% Right-Thalamus-Proper,50.59% Right_Thalamus; 47.45% no_label
    8,   28,  -38,    7,11.664,  250,90.80% Hippocampus_R; 9.20% no_label,44.40% Right-choroid-plexus; 38.40% Right-Hippocampus; 12.40% Right-Cerebral-White-Matter,69.20% Right_Hippocampus; 30.80% Right_Lateral_Ventricle
    9,  -17,  -14,   23,   54,  184,70.65% Caudate_L; 29.35% no_label,91.85% Left-Caudate; 8.15% Left-Lateral-Ventricle,79.35% Left_Caudate; 20.65% Left_Lateral_Ventrical
   10,   21,  -65,   34,   69,  160,57.50% Occipital_Sup_R; 38.75% Cuneus_R,71.88% Right-Cerebral-White-Matter; 17.50% ctx-rh-precuneus; 8.75% ctx-rh-superiorparietal,61.88% Right_Precuneous_Cortex; 38.12% Right_Lateral_Occipital_Cortex_superior_division
