cluster_id,peak_x,peak_y,peak_z,peak_value,volume_mm,aal,desikan_killiany,harvard_oxford
    1,    0,  -40,   57,    0,446383,Precuneus_L,Unknown,8% Left_Postcentral_Gyrus; 7% Left_Precuneous_Cortex; 6% Right_Postcentral_Gyrus; 5% Right_Precuneous_Cortex
    2,   15,  -55,  -24,    7, 1240,Cerebelum_6_R,Right-Cerebellum-Cortex,0% no_label
    3,  -15,  -55,  -24,    7, 1240,Cerebelum_6_L,Left-Cerebellum-Cortex,0% no_label
    4,  -35,  -27,   -5,   23,  708,Hippocampus_L,Left-Cerebral-White-Matter,0% no_label
    5,   35,  -27,   -5,   23,  612,Hippocampus_R,Right-Cerebral-White-Matter,12% Right_Hippocampus
    6,  -10,  -14,   -5,   33,  526,no_label,Left-VentralDC,0% no_label
    7,   10,  -15,   -5,   33,  510,no_label,Right-VentralDC,6% Right_Thalamus
    8,   28,  -38,    7,   23,  250,Hippocampus_R,Right-choroid-plexus,67% Right_Lateral_Ventricle
    9,  -17,  -14,   23,   54,  184,Caudate_L,Left-Caudate,72% Left_Caudate; 6% Left_Lateral_Ventrical
   10,   21,  -65,   34,   69,  160,Occipital_Sup_R,Right-Cerebral-White-Matter,14% Right_Precuneous_Cortex; 7% Right_Lateral_Occipital_Cortex_superior_division
   11,  -21,  -65,   34,   69,  156,Occipital_Sup_L,Left-Cerebral-White-Matter,27% Left_Lateral_Occipital_Cortex_superior_division
   12,  -34,   48,    7,   27,   80,Frontal_Mid_2_L,ctx-lh-rostralmiddlefrontal,49% Left_Frontal_Pole
   13,  -19,  -74,   11,   16,   72,Calcarine_L,Left-Cerebral-White-Matter,12% Left_Intracalcarine_Cortex; 9% Left_Lateral_Ventrical
   14,   34,   49,    7,    0,   72,Frontal_Mid_2_R,Right-Cerebral-White-Matter,43% Right_Frontal_Pole
   15,   -3,  -11,   -9,   24,   64,no_label,Left-VentralDC,0% no_label
   16,    2,  -11,   -9,   24,   56,no_label,Right-VentralDC,0% no_label
   17,   -4,   -3,  -10,   19,   52,no_label,Left-VentralDC,0% no_label
   18,   34,  -33,   -1,    0,   41,Hippocampus_R,Right-Cerebral-White-Matter,6% Right_Hippocampus
   19,    3,   -4,   -9,   19,   40,no_label,Right-VentralDC,0% no_label
   20,   15,  -21,   -5,   21,   40,no_label,Right-VentralDC,15% Right_Thalamus
   21,   25,  -37,   11,   23,   40,no_label,Right-choroid-plexus,84% Right_Lateral_Ventricle
   22,  -15,  -21,   -5,   21,   36,no_label,Left-VentralDC,15% Left_Thalamus
   23,  -25,  -37,   11,   23,   36,no_label,Left-choroid-plexus,38% Left_Lateral_Ventrical
   24,  -33,  -34,    1,   23,   30,no_label,Left-Cerebral-White-Matter,0% no_label
   25,   -8,   -5,   -5,   19,   28,no_label,Left-VentralDC,0% no_label
   26,   22,  -25,   -2,   37,   28,Thalamus_R,Right-VentralDC,8% Right_Thalamus
   27,    7,   -5,   -5,   19,   28,no_label,Right-VentralDC,15% Right_Thalamus
   28,  -22,  -25,   -2,   37,   26,no_label,Left-Cerebral-White-Matter,0% no_label
   29,  -12,  -12,   -2,   33,   26,Thalamus_L,Left-Cerebral-White-Matter,7% Left_Thalamus
   30,   35,  -16,   -9,   23,   24,no_label,Right-Cerebral-White-Matter,0% no_label
   31,   12,  -12,   -2,   33,   20,Thalamus_R,Right-Thalamus-Proper,18% Right_Thalamus
   32,   -7,   -2,  -13,   18,   20,no_label,Left-VentralDC,0% no_label
   33,    6,   -2,  -13,   18,   20,no_label,Right-VentralDC,0% no_label
   34,   32,  -36,    4,   23,   18,no_label,Right-Cerebral-White-Matter,16% Right_Lateral_Ventricle
   35,  -35,  -16,   -9,   23,   16,no_label,Left-Cerebral-White-Matter,0% no_label
   36,   49,  -24,    7,   49,   16,Temporal_Sup_R,ctx-rh-superiortemporal,26% Right_Planum_Temporale; 23% Right_Heschl's_Gyrus_(includes_H1_and_H2)
   37,   23,    1,  -13,   11,   16,Amygdala_R,Unknown,28% Right_Amygdala
   38,  -35,  -31,   -2,   23,   16,no_label,Left-Cerebral-White-Matter,0% no_label
   39,  -32,  -36,    4,   23,   15,no_label,Left-Cerebral-White-Matter,0% no_label
   40,   20,  -36,    4,   28,   15,Hippocampus_R,Right-Hippocampus,45% Right_Hippocampus; 33% Right_Thalamus
   41,    3,   -1,  -13,   19,   12,no_label,Unknown,0% no_label
   42,  -20,  -36,    4,   28,   12,Hippocampus_L,Left-Thalamus-Proper,24% Left_Thalamus; 20% Left_Hippocampus
   43,   24,  -37,    4,   28,    9,Hippocampus_R,Right-Hippocampus,56% Right_Hippocampus; 8% Right_Lateral_Ventricle
   44,  -23,  -37,    4,   28,    9,Hippocampus_L,Left-Cerebral-White-Matter,24% Left_Hippocampus; 8% Left_Lateral_Ventrical
   45,   64,    3,   33,    0,    9,Postcentral_R,Unknown,12% Right_Precentral_Gyrus
   46,   33,  -39,    4,   23,    6,no_label,Right-Cerebral-White-Matter,23% Right_Lateral_Ventricle
   47,  -32,  -39,    4,   23,    6,no_label,Left-Cerebral-White-Matter,5% Left_Lateral_Ventrical
   48,  -24,   17,  -32,    2,    5,Temporal_Pole_Sup_L,Unknown,28% Left_Temporal_Pole
   49,   63,  -64,   16,   17,    5,no_label,Unknown,0% no_label
   50,   65,  -56,   24,   55,    5,no_label,Unknown,10% Right_Angular_Gyrus
   51,   60,   20,   32,   64,    5,Frontal_Inf_Oper_R,Unknown,5% Right_Precentral_Gyrus
   52,   60,  -65,   28,   55,    5,no_label,Unknown,12% Right_Lateral_Occipital_Cortex_superior_division
   53,   46,  -89,    4,   17,    5,no_label,Unknown,8% Right_Lateral_Occipital_Cortex_inferior_division
   54,  -23,   15,  -32,    2,    5,Temporal_Pole_Sup_L,Unknown,32% Left_Temporal_Pole; 5% Left_Frontal_Orbital_Cortex
   55,   57,   42,    8,   43,    5,no_label,Unknown,6% Right_Frontal_Pole
   56,   49,   56,    4,   27,    5,no_label,Unknown,5% Right_Frontal_Pole
   57,   44,   -8,   60,   51,    5,Precentral_R,ctx-rh-precentral,75% Right_Precentral_Gyrus
   58,   44,  -80,   32,   17,    5,Occipital_Mid_R,ctx-rh-inferiorparietal,57% Right_Lateral_Occipital_Cortex_superior_division
   59,   43,   60,    8,   27,    5,no_label,Unknown,17% Right_Frontal_Pole
   60,   42,   22,   50,   70,    5,Frontal_Mid_2_R,ctx-rh-caudalmiddlefrontal,80% Right_Middle_Frontal_Gyrus
   61,   34,   20,   55,   51,    5,Frontal_Mid_2_R,Right-Cerebral-White-Matter,69% Right_Middle_Frontal_Gyrus; 11% Right_Superior_Frontal_Gyrus
   62,   67,  -51,   16,   31,    5,no_label,Unknown,17% Right_Angular_Gyrus
   63,   25,    7,   65,   51,    5,Frontal_Sup_2_R,Right-Cerebral-White-Matter,58% Right_Superior_Frontal_Gyrus; 5% Right_Middle_Frontal_Gyrus
   64,   70,  -31,    4,   31,    5,Temporal_Sup_R,Unknown,30% Right_Superior_Temporal_Gyrus_posterior_division; 13% Right_Middle_Temporal_Gyrus_posterior_division; 7% Right_Supramarginal_Gyrus_posterior_division
